Deodoro da Fonseca (1º)
Floriano Peixoto (2º)
Prudente de Morais (3º)
Campos Sales (4º)
Rodrigues Alves (5º)
Afonso Pena (6º)
Nilo Peçanha (7º)
Hermes da Fonseca (8º)
Venceslau Brás (9º)
Delfim Moreira (10º)
Epitácio Pessoa (11º)
Artur Bernardes (12º)
Washington Luís (13º)
Getúlio Vargas (14º)
José Linhares (15º)
Eurico Gaspar Dutra (16º)
Getúlio Vargas (17º)
Café Filho (18º)
Carlos Luz (19º)
Nereu Ramos (20º)
Juscelino Kubitschek (21º)
Jânio Quadros (22º)
Ranieri Mazzilli (23º)
João Goulart (24º)
Ranieri Mazzilli (25º)
Humberto Castelo Branco (26º)
Artur da Costa e Silva (27º)
Emílio Garrastazu Médici (28º)
Ernesto Geisel (29º)
João Figueiredo (30º)
José Sarney (31º)
Fernando Collor (32º)
Itamar Franco (33º)
Fernando Henrique Cardoso (34º)
Luiz Inácio Lula da Silva (35º)
Dilma Rousseff (36º)
Michel Temer (37º)
Jair Bolsonaro (38º)
